customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,predictions,ct_Last_training
1222-LRYKO,Male,False,False,True,6,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,29.88008868079934,184.05,False,False,False
2320-JRSDE,Female,False,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,22.56598727696041,19.9,True,False,False
2087-QAREY,Female,False,True,False,22,True,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,True,Mailed check,62.028115781393694,1178.75,False,True,False
0601-WZHJF,Male,False,True,False,14,False,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,52.5594728787495,667.7,True,True,False
4423-JWZJN,Male,False,True,True,64,True,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,False,Credit card (automatic),102.3407211932501,5629.15,True,False,False
5143-WMWOG,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,22.622685737455285,19.95,True,False,False
6490-FGZAT,Male,False,False,False,6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,23.41646418438354,109.3,False,False,False
5393-RXQSZ,Male,False,False,False,1,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,False,Electronic check,90.26394910784164,79.6,True,True,False
7452-FOLON,Male,False,False,True,39,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),28.859516391891574,958.45,True,False,False
2320-TZRRH,Female,False,False,False,20,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,22.11239959300141,403.15,True,False,False
0231-LXVAP,Male,False,False,False,1,True,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,True,Electronic check,86.06826303122087,75.9,True,True,False
9444-JTXHZ,Male,False,True,False,1,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,False,Electronic check,86.40845379419012,76.2,True,True,False
4942-VZZOM,Male,False,True,False,64,True,Yes,DSL,Yes,No,No,No,Yes,No,One year,True,Credit card (automatic),75.01206323472016,4392.5,True,False,False
